date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:19:36	34079/34079	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/html	etag:%2260a15-hgbS/KbJQ0IaoHZKM850XmRQ23U%22	https://app.webadb.com/robots.txt		(from )
09:19:37	368378/368378	---MCZ	200	added ('OK')	text/html	etag:%22913e14452898f9e6c151442ad5338268-ssl-df%22	https://app.webadb.com/	app.webadb.com/index.html	(from )
09:19:37	430/430	---M--	200	added ('OK')	application/json	etag:%22244952364e82af6022f33b5b8b973f52-ssl%22	https://app.webadb.com/manifest.json	app.webadb.com/manifest.json	(from https://app.webadb.com/)
09:19:38	351/351	---M--	200	added ('OK')	text/css	etag:%2221e610cdbe3128e38bf134893251aace-ssl%22	https://app.webadb.com/_next/static/css/b6853f0190ea9f57.css	app.webadb.com/_next/static/css/b6853f0190ea9f57.css	(from https://app.webadb.com/)
09:19:40	91434/91434	---MCZ	200	added ('OK')	application/javascript	etag:%22e121788ddcf20566db8d86d7bbdff1d7-ssl-df%22	https://app.webadb.com/_next/static/chunks/polyfills-5cd94c89d3acac5f.js	app.webadb.com/_next/static/chunks/polyfills-5cd94c89d3acac5f.js	(from https://app.webadb.com/)
09:19:41	4144/4144	---MCZ	200	added ('OK')	application/javascript	etag:%22557be1f0ec97f39b191b3a85b899ade4-ssl-df%22	https://app.webadb.com/_next/static/chunks/webpack-cd0f7d7b3d726642.js	app.webadb.com/_next/static/chunks/webpack-cd0f7d7b3d726642.js	(from https://app.webadb.com/)
09:19:42	130033/130033	---MCZ	200	added ('OK')	application/javascript	etag:%22ca1813b6d860963bb82aef5b21626878-ssl-df%22	https://app.webadb.com/_next/static/chunks/framework-500670efea5c10da.js	app.webadb.com/_next/static/chunks/framework-500670efea5c10da.js	(from https://app.webadb.com/)
09:19:43	105235/105235	---MCZ	200	added ('OK')	application/javascript	etag:%22477a55067ac4c69418588f3f0c347e4b-ssl-df%22	https://app.webadb.com/_next/static/chunks/main-176c8eacbd362474.js	app.webadb.com/_next/static/chunks/main-176c8eacbd362474.js	(from https://app.webadb.com/)
09:19:44	596702/596702	---MCZ	200	added ('OK')	application/javascript	etag:%2257d23ebb8ea76fdf9088a506f6c67a4a-ssl-df%22	https://app.webadb.com/_next/static/chunks/pages/_app-939ec8f2685eb67d.js	app.webadb.com/_next/static/chunks/pages/_app-939ec8f2685eb67d.js	(from https://app.webadb.com/)
09:19:45	3587/3587	---MCZ	200	added ('OK')	application/javascript	etag:%224a58bfcce9ede2b83cf406e9ce19011c-ssl-df%22	https://app.webadb.com/_next/static/chunks/pages/index-a0df8cf7d45402dc.js	app.webadb.com/_next/static/chunks/pages/index-a0df8cf7d45402dc.js	(from https://app.webadb.com/)
